TimeCreated,Id,AccountName,LogonType,SourceIP,Label
2026-06-11 21:38:53,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 21:40:16,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 21:43:09,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 22:01:22,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 22:01:23,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 22:01:23,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:05:39,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:06:34,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:39,4624,-,0,Unknown,Normal
2026-06-11 23:07:40,4624,BACHTRANPC$,2,Unknown,Normal
2026-06-11 23:07:40,4624,BACHTRANPC$,2,Unknown,Normal
2026-06-11 23:07:40,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:40,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:41,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:41,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:42,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:42,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:42,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:42,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:43,4624,BACHTRANPC$,2,Unknown,Normal
2026-06-11 23:07:43,4624,BACHTRANPC$,2,Unknown,Normal
2026-06-11 23:07:44,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:44,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:44,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:44,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:46,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:47,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:47,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:49,4624,BACHTRANPC$,2,127.0.0.1,Normal
2026-06-11 23:07:49,4624,BACHTRANPC$,2,127.0.0.1,Normal
2026-06-11 23:07:51,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:52,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:07:54,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:00,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:01,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:01,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:01,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:01,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
